DEPARTAMENTO,Total_Cerdos_2016,Total_Predios_Porcinos_2016,Total_Cerdos_2017,Total_Predios_Porcinos_2017,Total_Cerdos_2019,Total_Predios_Porcinos_2019,Total_Cerdos_2022,Total_Predios_Porcinos_2022,Total_Cerdos_2025,Total_Predios_Porcinos_2025
ANTIOQUIA,1753388,23656,1733529,20817,1998407,18768,2560952,10599,3742266,11577
VALLE,416784,2732,116,19,64497,5087,172914,1770,191071,1800
BOYACA,235357,5154,180082,4184,304261,24436,260527,19469,257533,18016
CAUCA,192122,4001,99679,2443,76850,4963,96084,3640,130712,3647
MAGDALENA,176580,10033,141986,25907,275444,17393,77906,2479,83852,2482
CORDOBA,157516,26549,367737,40552,16573,1217,13498,870,8426,878
NARINO,149994,27497,30967,2495,338499,1421,199285,9167,218766,9162
CALDAS,133323,4446,140193,4454,165956,6236,235843,4080,219538,4094
RISARALDA,131529,2351,2416,192,77157,790,110020,6892,124238,6892
SUCRE,124455,22204,77913,4715,81155,3262,214097,1395,217774,1395
ATLANTICO,100820,2443,156692,5184,198240,5038,268539,6020,361927,6050
HUILA,84654,4968,36129,2350,54207,2263,2229,14,1815,15
BOLIVAR,81568,6354,109995,9830,1584,261,1285,23,1476,23
TOLIMA,77176,4627,310392,1768,231789,29485,1574,217,1627,128
SANTANDER,74680,2806,213137,28872,2477,146,169500,774,166478,774
QUINDIO,70140,965,131529,2351,38270,2498,158790,6010,118955,5998
CESAR,65577,7595,62230,7637,121887,4763,203337,1763,245229,1788
ARAUCA,60400,2624,60400,2612,35675,1794,60547,2048,72997,2050
CAQUETA,58608,2646,62655,2278,132147,4281,252479,2494,291210,2433
LA-GUAJIRA,33064,2667,212130,10208,50070,3554,113264,3050,92577,3052
CHOCO,28850,1599,29236,1316,104317,8755,167957,6223,171679,6223
PUTUMAYO,23459,1876,68578,1771,90564,8870,842410,1617,738799,1618
CASANARE,22780,2960,62642,4086,54370,4334,73622,2388,61959,2255
GUAVIARE,5832,253,7050,1020,7787,1630,851,22,1466,63
DISTRITO-CAPITAL,3708,473,2481,59,420259,42663,673960,54345,422903,54346
S.ANDRES/PROVID,2223,205,92600,2806,128601,2197,42411,1383,52659,1383
AMAZONAS,500,0,581,43,270,36,1656,39,1386,45
GUAINIA,316,18,316,16,630,35,709661,4267,716995,4276
VAUPES,163,0,5351,314,932437,7668,377556,31402,379680,31402
